OBJECTID,pointid,Elevation,FlowDirect,POINT_X,POINT_Y
510,510,149.9848938,64,287619.44,4783267.029
511,511,149.9612274,32,287620.44,4783267.029
512,512,150.0235138,16,287621.44,4783267.029
513,513,150.0420227,16,287622.44,4783267.029
514,514,150.0488281,1,287623.44,4783267.029
515,515,150.0290375,1,287624.44,4783267.029
516,516,150.0106049,64,287625.44,4783267.029
517,517,150.0266266,16,287626.44,4783267.029
518,518,150.0538635,16,287627.44,4783267.029
519,519,150.0973663,16,287628.44,4783267.029
520,520,150.1397858,32,287629.44,4783267.029
521,521,150.1431732,128,287630.44,4783267.029
522,522,150.1380768,64,287631.44,4783267.029
523,523,150.1520996,64,287632.44,4783267.029
524,524,150.1443787,128,287633.44,4783267.029
525,525,150.1089325,1,287634.44,4783267.029
526,526,149.9987335,2,287635.44,4783267.029
527,527,150.0279846,1,287636.44,4783267.029
528,528,150.0006104,4,287637.44,4783267.029
529,529,149.9938202,1,287638.44,4783267.029
530,530,149.9678802,1,287639.44,4783267.029
531,531,149.9531403,4,287640.44,4783267.029
532,532,150.1500702,16,287641.44,4783267.029
533,533,150.178009,8,287642.44,4783267.029
534,534,150.1558075,2,287643.44,4783267.029
535,535,150.131897,1,287644.44,4783267.029
536,536,149.9598389,64,287645.44,4783267.029
537,537,149.9709625,4,287646.44,4783267.029
538,538,149.9859772,8,287647.44,4783267.029
539,539,150.0093994,16,287648.44,4783267.029
540,540,150.0316925,8,287649.44,4783267.029
541,541,150.0456543,8,287650.44,4783267.029
542,542,150.0700684,16,287651.44,4783267.029
543,543,150.0631561,1,287652.44,4783267.029
544,544,150.0437622,1,287653.44,4783267.029
545,545,150.0226288,1,287654.44,4783267.029
546,546,150.0116425,1,287655.44,4783267.029
547,547,149.9921112,1,287656.44,4783267.029
548,548,149.962204,64,287657.44,4783267.029
549,549,150.1061096,16,287658.44,4783267.029
550,550,150.1850128,16,287659.44,4783267.029
551,551,150.1962891,16,287660.44,4783267.029
552,552,154.2442017,16,287661.44,4783267.029
553,553,160.413681,16,287662.44,4783267.029
554,554,159.4300537,8,287663.44,4783267.029
555,555,159.3086853,1,287664.44,4783267.029
556,556,159.1884003,1,287665.44,4783267.029
557,557,159.0924683,1,287666.44,4783267.029
558,558,158.9933319,1,287667.44,4783267.029
559,559,158.9049835,1,287668.44,4783267.029
560,560,158.7966766,1,287669.44,4783267.029
561,561,158.7216797,1,287670.44,4783267.029
562,562,158.6523285,1,287671.44,4783267.029
563,563,158.5567169,1,287672.44,4783267.029
564,564,158.4576111,1,287673.44,4783267.029
565,565,158.3779907,4,287674.44,4783267.029
566,566,150.0801697,64,287615.44,4783266.029
567,567,150.0438385,64,287616.44,4783266.029
